2015 GEOID,"2010 Census Percent Rural",,,,,,,,,,,,,
05079,100,,,,,,,,,,,,,
05081,68.52175233,,,,,,,,,,,,,
05083,71.01954995,,,,,,,,,,,,,
05085,44.81245245,,,,,,,,,,,,,
05087,100,,,,,,,,,,,,,
05089,100,,,,,,,,,,,,,
05091,40.01196447,,,,,,,,,,,,,
05093,36.2672117,,,,,,,,,,,,,
05095,68.97778869,,,,,,,,,,,,,
05097,100,,,,,,,,,,,,,
05099,69.17861509,,,,,,,,,,,,,
05101,100,,,,,,,,,,,,,
05103,56.3492975,,,,,,,,,,,,,
05105,100,,,,,,,,,,,,,
05107,47.96617181,,,,,,,,,,,,,
05109,100,,,,,,,,,,,,,
05111,71.13859171,,,,,,,,,,,,,
05113,73.38592585,,,,,,,,,,,,,
05115,54.49363604,,,,,,,,,,,,,
05117,100,,,,,,,,,,,,,
05119,12.27674606,,,,,,,,,,,,,
05121,67.42167066,,,,,,,,,,,,,
05123,51.55354236,,,,,,,,,,,,,
05125,36.16012248,,,,,,,,,,,,,
05127,70.35520342,,,,,,,,,,,,,
05129,100,,,,,,,,,,,,,
05131,20.81212622,,,,,,,,,,,,,
05133,63.60065658,,,,,,,,,,,,,
05135,80.05676552,,,,,,,,,,,,,
05137,100,,,,,,,,,,,,,
05139,54.50419078,,,,,,,,,,,,,
05141,100,,,,,,,,,,,,,
05143,25.49479231,,,,,,,,,,,,,
05145,54.31781618,,,,,,,,,,,,,
05147,100,,,,,,,,,,,,,
05149,79.12553527,,,,,,,,,,,,,
06001,0.388605754,,,,,,,,,,,,,
06003,100,,,,,,,,,,,,,
06005,60.42372214,,,,,,,,,,,,,
06007,18.90181818,,,,,,,,,,,,,
06009,75.40918864,,,,,,,,,,,,,
06011,31.72417013,,,,,,,,,,,,,
06013,0.792736112,,,,,,,,,,,,,
06015,33.67354072,,,,,,,,,,,,,
06017,34.69993041,,,,,,,,,,,,,
06019,10.80520178,,,,,,,,,,,,,
06021,40.87191523,,,,,,,,,,,,,
06023,29.75865937,,,,,,,,,,,,,
06025,17.41783553,,,,,,,,,,,,,
06027,46.43049714,,,,,,,,,,,,,
06029,10.20603098,,,,,,,,,,,,,
06031,10.85160346,,,,,,,,,,,,,
06033,33.10600789,,,,,,,,,,,,,
06035,70.5258633,,,,,,,,,,,,,
06037,0.605218358,,,,,,,,,,,,,
06039,32.92480032,,,,,,,,,,,,,
06041,6.519973535,,,,,,,,,,,,,
06043,100,,,,,,,,,,,,,
06045,45.23058708,,,,,,,,,,,,,
06047,14.27326002,,,,,,,,,,,,,
06049,69.95663845,,,,,,,,,,,,,
06051,45.83157302,,,,,,,,,,,,,
06053,9.816001176,,,,,,,,,,,,,
06055,13.40083819,,,,,,,,,,,,,
06057,42.13478595,,,,,,,,,,,,,
06059,0.143344433,,,,,,,,,,,,,
06061,13.78719521,,,,,,,,,,,,,
06063,74.02409157,,,,,,,,,,,,,
06065,4.622310233,,,,,,,,,,,,,
06067,2.062112169,,,,,,,,,,,,,
06069,24.00441477,,,,,,,,,,,,,
06071,4.734499143,,,,,,,,,,,,,
06073,3.297049442,,,,,,,,,,,,,
06075,0,,,,,,,,,,,,,
06077,8.47285738,,,,,,,,,,,,,
06079,16.59638699,,,,,,,,,,,,,
06081,1.891012748,,,,,,,,,,,,,
06083,5.01751613,,,,,,,,,,,,,
06085,1.083663272,,,,,,,,,,,,,
06087,12.03931672,,,,,,,,,,,,,
06089,29.28626646,,,,,,,,,,,,,
06091,99.72222222,,,,,,,,,,,,,
06093,65.82628062,,,,,,,,,,,,,
06095,3.718452427,,,,,,,,,,,,,
06097,12.35352713,,,,,,,,,,,,,
06099,7.980709608,,,,,,,,,,,,,
06101,14.79780867,,,,,,,,,,,,,
06103,51.48826876,,,,,,,,,,,,,
06105,100,,,,,,,,,,,,,
06107,15.47993007,,,,,,,,,,,,,
06109,48.96595322,,,,,,,,,,,,,
06111,3.124552117,,,,,,,,,,,,,
06113,6.929583916,,,,,,,,,,,,,
06115,26.22271499,,,,,,,,,,,,,
08001,3.620446419,,,,,,,,,,,,,
08003,36.86629977,,,,,,,,,,,,,
08005,1.575586539,,,,,,,,,,,,,
08007,59.37603443,,,,,,,,,,,,,
08009,100,,,,,,,,,,,,,
08011,37.95968611,,,,,,,,,,,,,
08013,8.913082592,,,,,,,,,,,,,
08014,0.583299039,,,,,,,,,,,,,
08015,37.41366725,,,,,,,,,,,,,
08017,100,,,,,,,,,,,,,
08019,100,,,,,,,,,,,,,
08021,100,,,,,,,,,,,,,
08023,100,,,,,,,,,,,,,
08025,100,,,,,,,,,,,,,
08027,100,,,,,,,,,,,,,
08029,63.17200827,,,,,,,,,,,,,
08031,0,,,,,,,,,,,,,
08033,100,,,,,,,,,,,,,
08035,10.28742578,,,,,,,,,,,,,
08037,19.98390712,,,,,,,,,,,,,
08039,100,,,,,,,,,,,,,
08041,8.934325197,,,,,,,,,,,,,
08043,26.42021186,,,,,,,,,,,,,
08045,24.10399191,,,,,,,,,,,,,
08047,100,,,,,,,,,,,,,
08049,82.59785758,,,,,,,,,,,,,
08051,58.60741321,,,,,,,,,,,,,
08053,100,,,,,,,,,,,,,
08055,56.14662494,,,,,,,,,,,,,
08057,100,,,,,,,,,,,,,
08059,6.896358198,,,,,,,,,,,,,
08061,100,,,,,,,,,,,,,
08063,48.69407497,,,,,,,,,,,,,
08065,31.06703146,,,,,,,,,,,,,
08067,59.9485721,,,,,,,,,,,,,
08069,11.66038114,,,,,,,,,,,,,
08071,40.79447991,,,,,,,,,,,,,
08073,100,,,,,,,,,,,,,
08075,29.1558413,,,,,,,,,,,,,
08077,12.67626752,,,,,,,,,,,,,
08079,100,,,,,,,,,,,,,
08081,27.35773831,,,,,,,,,,,,,
08083,67.18229881,,,,,,,,,,,,,
08085,44.9898246,,,,,,,,,,,,,
08087,32.54732057,,,,,,,,,,,,,
08089,34.40603261,,,,,,,,,,,,,
08091,100,,,,,,,,,,,,,
08093,100,,,,,,,,,,,,,
08095,100,,,,,,,,,,,,,
08097,44.20340564,,,,,,,,,,,,,
08099,37.88542746,,,,,,,,,,,,,
08101,14.1535115,,,,,,,,,,,,,
08103,100,,,,,,,,,,,,,
08105,62.53546987,,,,,,,,,,,,,
08107,45.1784423,,,,,,,,,,,,,
08109,100,,,,,,,,,,,,,
08111,100,,,,,,,,,,,,,
08113,100,,,,,,,,,,,,,
08115,100,,,,,,,,,,,,,
08117,19.51846824,,,,,,,,,,,,,
08119,62.60385439,,,,,,,,,,,,,
08121,100,,,,,,,,,,,,,
08123,20.46000198,,,,,,,,,,,,,
08125,64.9108832,,,,,,,,,,,,,
09001,4.584060932,,,,,,,,,,,,,
09003,5.408640133,,,,,,,,,,,,,
09005,41.44855655,,,,,,,,,,,,,
09007,24.54006615,,,,,,,,,,,,,
09009,3.639981124,,,,,,,,,,,,,
09011,25.80832315,,,,,,,,,,,,,
09013,38.2078839,,,,,,,,,,,,,
09015,49.76103624,,,,,,,,,,,,,
10001,26.96937958,,,,,,,,,,,,,
10003,4.602407893,,,,,,,,,,,,,
10005,41.30360902,,,,,,,,,,,,,
11001,0,,,,,,,,,,,,,
12001,21.19343727,,,,,,,,,,,,,
12003,59.49105661,,,,,,,,,,,,,
12005,11.99985786,,,,,,,,,,,,,
12007,75.52945302,,,,,,,,,,,,,
12009,5.074386797,,,,,,,,,,,,,
12011,0.016932999,,,,,,,,,,,,,
12013,67.51452991,,,,,,,,,,,,,
12015,8.884346598,,,,,,,,,,,,,
12017,34.51881956,,,,,,,,,,,,,
12019,14.96869515,,,,,,,,,,,,,
12021,8.485941777,,,,,,,,,,,,,
12023,62.05742548,,,,,,,,,,,,,
12027,46.24232689,,,,,,,,,,,,,
12029,77.02472293,,,,,,,,,,,,,
12031,2.911498005,,,,,,,,,,,,,
12033,8.302225328,,,,,,,,,,,,,
12035,10.32122555,,,,,,,,,,,,,
12037,68.04052299,,,,,,,,,,,,,
12039,65.37972364,,,,,,,,,,,,,
12041,83.91876734,,,,,,,,,,,,,
12043,70.63800062,,,,,,,,,,,,,
12045,77.08504066,,,,,,,,,,,,,
12047,63.48401919,,,,,,,,,,,,,
12049,47.80931088,,,,,,,,,,,,,
12051,37.89218191,,,,,,,,,,,,,
12053,19.37515193,,,,,,,,,,,,,
12055,21.06573806,,,,,,,,,,,,,
12057,3.512860939,,,,,,,,,,,,,
12059,78.7725197,,,,,,,,,,,,,
12061,4.967832614,,,,,,,,,,,,,
12063,75.36284324,,,,,,,,,,,,,
12065,100,,,,,,,,,,,,,
12067,100,,,,,,,,,,,,,
12069,19.2541921,,,,,,,,,,,,,
12071,5.820245202,,,,,,,,,,,,,
12073,12.30947377,,,,,,,,,,,,,
12075,92.04921448,,,,,,,,,,,,,
12077,100,,,,,,,,,,,,,
12079,80.0093633,,,,,,,,,,,,,
12081,5.790300248,,,,,,,,,,,,,
12083,31.02779027,,,,,,,,,,,,,
12085,8.476742438,,,,,,,,,,,,,
12086,0.404373078,,,,,,,,,,,,,
12087,8.713914352,,,,,,,,,,,,,
12089,48.14632949,,,,,,,,,,,,,
12091,12.09919147,,,,,,,,,,,,,
12093,36.54865487,,,,,,,,,,,,,
12095,2.042137744,,,,,,,,,,,,,
12097,7.821054395,,,,,,,,,,,,,
12099,1.042545681,,,,,,,,,,,,,
12101,9.466383471,,,,,,,,,,,,,
12103,0.284002261,,,,,,,,,,,,,
12105,13.51049253,,,,,,,,,,,,,
12107,56.1629283,,,,,,,,,,,,,
12109,23.77354122,,,,,,,,,,,,,
12111,3.357224368,,,,,,,,,,,,,
12113,20.98935074,,,,,,,,,,,,,
12115,4.320486602,,,,,,,,,,,,,
12117,3.157660663,,,,,,,,,,,,,
12119,34.96467566,,,,,,,,,,,,,
12121,83.16767346,,,,,,,,,,,,,
12123,69.28223305,,,,,,,,,,,,,
12125,67.44769874,,,,,,,,,,,,,
12127,9.94332714,,,,,,,,,,,,,
12129,61.67793086,,,,,,,,,,,,,
12131,63.12519303,,,,,,,,,,,,,
12133,84.55173522,,,,,,,,,,,,,
13001,71.44110551,,,,,,,,,,,,,
13003,100,,,,,,,,,,,,,
13005,69.28622927,,,,,,,,,,,,,
13007,100,,,,,,,,,,,,,
13009,35.1399825,,,,,,,,,,,,,
13011,93.82984507,,,,,,,,,,,,,
13013,30.06184497,,,,,,,,,,,,,
13015,35.22769252,,,,,,,,,,,,,
13017,34.00249518,,,,,,,,,,,,,
13019,76.1433164,,,,,,,,,,,,,
13021,14.41043543,,,,,,,,,,,,,
13023,51.58845594,,,,,,,,,,,,,
13025,99.44598338,,,,,,,,,,,,,
13027,71.03983254,,,,,,,,,,,,,
13029,52.34346575,,,,,,,,,,,,,
13031,48.28317929,,,,,,,,,,,,,
13033,74.9957111,,,,,,,,,,,,,
13035,77.94123864,,,,,,,,,,,,,
13037,100,,,,,,,,,,,,,
13039,31.44339081,,,,,,,,,,,,,
13043,66.96672122,,,,,,,,,,,,,
13045,41.82507442,,,,,,,,,,,,,
13047,28.10202996,,,,,,,,,,,,,
13049,51.02292334,,,,,,,,,,,,,
13051,4.504908857,,,,,,,,,,,,,
13053,29.51983669,,,,,,,,,,,,,
13055,57.55910052,,,,,,,,,,,,,
13057,17.10272177,,,,,,,,,,,,,
13059,5.859622667,,,,,,,,,,,,,
13061,100,,,,,,,,,,,,,
13063,0.887735907,,,,,,,,,,,,,
13065,60.4295381,,,,,,,,,,,,,
13067,0.246193019,,,,,,,,,,,,,
13069,66.58324677,,,,,,,,,,,,,
13071,58.94984395,,,,,,,,,,,,,
13073,16.22774137,,,,,,,,,,,,,
13075,59.41203811,,,,,,,,,,,,,
13077,32.93275839,,,,,,,,,,,,,
13079,100,,,,,,,,,,,,,
13081,47.02845685,,,,,,,,,,,,,
13083,72.12769795,,,,,,,,,,,,,
13085,80.30900134,,,,,,,,,,,,,
13087,56.47582789,,,,,,,,,,,,,
13089,0.263044933,,,,,,,,,,,,,
13091,72.22884933,,,,,,,,,,,,,
13093,53.66671136,,,,,,,,,,,,,
