county_fips,rfc_per_1000_hhs,pcat_10x1
01001,4,3
01003,5,3
01005,3,2
01007,3,1
01009,3,1
01011,2,1
01013,4,2
01015,4,3
01017,4,3
01019,3,1
01021,3,2
01023,3,1
01025,3,2
01027,3,1
01029,3,1
01031,4,3
01033,4,3
01035,3,1
01037,2,1
01039,4,1
01041,3,2
01043,3,3
01045,3,2
01047,3,2
01049,3,2
01051,5,4
01053,3,2
01055,4,3
01057,3,1
01059,3,2
01061,3,2
01063,2,1
01065,3,2
01067,3,2
01069,4,3
01071,4,3
01073,4,3
01075,3,1
01077,3,3
01079,3,2
01081,4,4
01083,4,3
01085,3,1
01087,3,2
01089,5,4
01091,3,1
01093,3,1
01095,4,3
01097,4,3
01099,3,1
01101,4,3
01103,4,3
01105,2,1
01107,3,1
01109,3,2
01111,3,1
01113,3,2
01115,4,2
01117,5,4
01119,3,2
01121,3,2
01123,4,4
01125,4,4
01127,3,2
01129,3,1
01131,3,1
01133,3,1
02013,5,0
02016,3,0
02020,5,4
02050,3,0
02060,4,0
02068,4,1
02070,3,0
02090,4,3
02100,4,0
02105,2,1
02110,5,4
02122,4,2
02130,5,3
02150,4,4
02164,3,0
02170,5,2
02180,3,1
02185,4,0
02188,4,2
02195,4,4
02198,2,1
02220,4,4
02230,4,0
02240,3,1
02261,5,3
02270,2,0
02275,4,3
02282,3,0
02290,3,1
04001,3,1
04003,4,2
04005,4,3
04007,4,3
04009,4,2
04011,4,2
04012,3,2
04013,5,4
04015,5,3
04017,4,2
04019,5,3
04021,5,3
04023,4,1
04025,5,3
04027,4,2
05001,3,2
05003,3,1
05005,4,3
05007,5,4
05009,4,2
05011,3,2
05013,3,2
05015,3,2
05017,3,2
05019,3,2
05021,3,2
05023,4,2
05025,3,1
05027,3,2
05029,3,2
05031,4,3
05033,3,3
05035,3,2
05037,3,2
05039,2,1
05041,3,1
05043,3,2
05045,4,2
05047,3,1
05049,3,1
05051,4,3
05053,3,1
05055,4,1
05057,3,2
05059,3,2
05061,3,1
05063,3,2
05065,3,1
05067,3,2
05069,3,1
05071,3,2
05073,3,1
05075,3,2
05077,2,1
05079,3,1
05081,3,2
05083,3,1
05085,4,3
05087,3,1
05089,4,2
05091,3,2
05093,3,2
05095,2,1
05097,3,1
05099,3,1
05101,3,1
05103,3,2
05105,3,1
05107,3,2
05109,3,1
05111,3,2
05113,3,2
05115,4,3
05117,2,1
05119,4,3
05121,3,2
05123,2,1
05125,4,3
05127,3,1
05129,3,1
05131,4,3
05133,3,1
05135,4,1
05137,3,1
05139,3,3
05141,3,1
05143,4,3
05145,3,2
05147,2,1
05149,3,2
06001,5,4
06003,5,4
06005,5,2
06007,5,3
06009,5,3
06011,4,2
06013,5,4
06015,4,4
06017,5,4
06019,4,3
06021,4,2
06023,4,4
06025,4,3
06027,4,3
06029,4,3
06031,4,3
06033,4,3
06035,4,2
06037,5,4
06039,4,3
06041,5,5
06043,4,1
06045,4,3
06047,4,3
06049,3,1
06051,4,3
06053,5,3
06055,5,4
06057,5,3
06059,5,4
06061,5,3
06063,5,1
06065,5,4
06067,5,4
06069,4,3
06071,5,4
06073,5,4
06075,5,4
06077,4,4
06079,5,4
06081,5,4
06083,5,4
06085,5,4
06087,5,4
06089,4,3
06091,5,1
06093,4,2
06095,5,4
06097,5,4
06099,4,3
06101,4,3
06103,4,2
06105,2,2
06107,4,3
06109,4,3
06111,5,4
06113,5,3
06115,4,3
08001,5,3
08003,4,2
08005,5,4
08007,5,1
08009,2,1
08011,2,1
08013,5,4
08014,5,4
08015,5,4
08017,4,1
08019,5,2
08021,4,1
08023,3,1
08025,3,1
08027,5,2
08029,4,1
08031,5,4
08033,4,1
08035,5,4
08037,5,5
08039,5,2
08041,5,3
08043,4,3
08045,5,3
08047,5,2
08049,5,5
08051,5,2
08053,5,1
08055,4,2
08057,4,1
08059,5,3
08061,3,1
08063,4,1
08065,5,3
08067,4,2
08069,5,3
08071,4,2
08073,4,1
08075,4,3
08077,4,3
08079,5,1
08081,5,3
